name,faceSrc,team,position,age,height,number,rating
Mike Price,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360767.png&w=150,2026,17,18,5"10',19,67
Nicholas Ross,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428393.png&w=150,2026,17,18,5"11',26,69
Kaiden Smith,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036438.png&w=150,2026,17,20,6"1',13,68
Josh Thomas,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3917159.png&w=150,2026,17,21,6"0',7,78
Milan Tucker,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428719.png&w=150,2026,17,18,5"11',18,65
Bailey Watts,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4577770.png&w=150,2026,17,18,6"1',14,60
Ryker Casey,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4575397.png&w=150,2026,19,18,6"0',16,60
John Gliarmis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4383601.png&w=150,2026,19,18,5"8',29,60
Chandler Staton,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048151.png&w=150,2026,19,20,5"11',91,60
Clayton Howell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4259536.png&w=150,2026,20,19,6"0',30,60
Xavier Subotsch,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4245486.png&w=150,2026,20,20,6"1',39,60
Jake Appling,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048105.png&w=150,2026,13,20,6"3',53,60
Reed Harper,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4569670.png&w=150,2026,13,18,5"11',41,60
Johnathan Bennett,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426687.png&w=150,2335,0,18,6"1',6,65
Will Bowers,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426758.png&w=150,2335,0,18,6"1',10,60
Landon Brown,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246892.png&w=150,2335,0,19,6"1',8,65
Stephen Calvert,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029885.png&w=150,2335,0,21,6"2',12,84
Brandon Robinson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4372548.png&w=150,2335,0,18,6"4',4,65
Henry Van Dellen,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4040932.png&w=150,2335,0,20,6"3',14,60
Malik Willis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4242512.png&w=150,2335,0,20,6"1',7,60
Frank Boyd,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246890.png&w=150,2335,1,19,5"11',33,65
Gabriel Elliott,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4050535.png&w=150,2335,1,18,5"10',37,60
Troy Henderson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365489.png&w=150,2335,1,18,5"10',20,66
Frankie Hickson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910404.png&w=150,2335,1,21,5"8',23,79
Domonhic Jennings,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570211.png&w=150,2335,1,18,5"11',31,60
Joshua Mack,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4034306.png&w=150,2335,1,20,6"0',34,77
Peytton Pickett,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4044536.png&w=150,2335,1,20,5"10',25,66
Treon Sibley,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428486.png&w=150,2335,1,18,6"0',21,60
Jack Beil,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570204.png&w=150,2335,3,18,5"11',29,60
Brody Brumm,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365477.png&w=150,2335,3,19,6"0',80,65
Michael Chorowicz,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246894.png&w=150,2335,3,20,5"11',86,60
Khaleb Coleman,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246895.png&w=150,2335,3,19,6"2',17,66
